grid_id,grid_lat,grid_lon,date,fire_count,index,historical_mean,historical_std,history_days,threshold,z_score,is_anomaly
60_432,15.0,108.0,2024-12-31,0,47,1.2217962760131436,4.380478019090397,1826,14.363230333284335,-0.2789184811996497,False
60_434,15.0,108.5,2024-12-31,0,48,1.5334063526834611,2.9567162656120667,1826,10.403555149519661,-0.5186180258544465,False
62_430,15.5,107.5,2024-12-31,0,49,0.4414019715224535,1.8035323044306368,1826,5.851998884814364,-0.24474303589577295,False
66_428,16.5,107.0,2024-12-31,0,54,0.6675794085432639,1.9015812743624445,1826,6.372323231630598,-0.35106540937467295,False
68_426,17.0,106.5,2024-12-31,0,56,0.39156626506024095,1.4232954468525458,1826,4.661452605617878,-0.27511242723788987,False
72_424,18.0,106.0,2024-12-31,0,60,0.9791894852135816,2.7267532201370455,1826,9.159449145624718,-0.35910454894937943,False
74_422,18.5,105.5,2024-12-31,0,61,0.02573932092004381,0.1840045441915907,1826,0.5777529534948159,-0.13988415901969958,False
74_424,18.5,106.0,2024-12-31,0,62,0.0,0.0,1826,0.0,0.0,False
76_418,19.0,104.5,2024-12-31,0,63,0.09364731653888281,0.4557013615172608,1826,1.4607514010906653,-0.20550150701126593,False
76_420,19.0,105.0,2024-12-31,0,64,0.7524644030668127,2.1931542194380715,1826,7.331927061381028,-0.3430968950553822,False
78_420,19.5,105.0,2024-12-31,0,67,0.6111719605695509,1.9809963028191713,1826,6.554160869027064,-0.30851746653933043,False
80_422,20.0,105.5,2024-12-31,0,70,0.19989047097480833,0.7505395239678686,1826,2.4515090428784143,-0.2663290400991139,False
84_414,21.0,103.5,2024-12-31,0,76,0.9742606790799562,3.137033783680756,1826,10.385362030122224,-0.31056748070364515,False
84_420,21.0,105.0,2024-12-31,0,79,0.24096385542168675,0.9221701336549472,1826,3.007474256386528,-0.2613008669741297,False
84_422,21.0,105.5,2024-12-31,0,80,0.14676889375684557,0.5859851494088928,1826,1.904724341983524,-0.25046521043220527,False
84_428,21.0,107.0,2024-12-31,2,83,1.1664841182913472,3.5359127265650367,1826,11.774222297986457,0.23572863533834218,False
86_412,21.5,103.0,2024-12-31,0,84,2.090909090909091,6.8900925134814885,1826,22.761186631353556,-0.30346604008841926,False
86_416,21.5,104.0,2024-12-31,0,86,0.5427163198247535,2.873131853041364,1826,9.162111878948846,-0.18889363509379467,False
86_418,21.5,104.5,2024-12-31,0,87,0.06955093099671412,0.39459848277722986,1826,1.2533463793284036,-0.17625747191729327,False
86_422,21.5,105.5,2024-12-31,0,89,0.1566265060240964,0.7824110328091165,1826,2.503859604451446,-0.2001844292273781,False
86_424,21.5,106.0,2024-12-31,0,90,0.5038335158817087,1.7458323234442983,1826,5.741330486214604,-0.2885921569419171,False
86_428,21.5,107.0,2024-12-31,0,92,0.45618838992332966,1.6800187655823873,1826,5.496244686670492,-0.27153767521471084,False
88_412,22.0,103.0,2024-12-31,0,94,0.9490690032858707,3.507663892405494,1826,11.472060680502352,-0.27057010945111276,False
88_414,22.0,103.5,2024-12-31,0,95,0.3795180722891566,1.9037085617726168,1826,6.090643757607007,-0.1993572335125565,False
88_418,22.0,104.5,2024-12-31,0,97,0.14348302300109528,0.671292945045446,1826,2.157361858137433,-0.21374129440818357,False
88_420,22.0,105.0,2024-12-31,0,98,0.3203723986856517,1.1038121109644168,1826,3.631808731578902,-0.29024178617295443,False
88_426,22.0,106.5,2024-12-31,0,101,0.17250821467688937,0.7148751830422864,1826,2.3171337638037484,-0.24131235601542086,False
90_416,22.5,104.0,2024-12-31,0,105,0.3948521358159912,1.7414073367167038,1826,5.619074145966103,-0.22674312177899517,False
90_424,22.5,106.0,2024-12-31,0,109,0.26506024096385544,1.2247920356597741,1826,3.939436347943178,-0.21641244655960887,False
92_420,23.0,105.0,2024-12-31,0,111,0.09857612267250822,0.5658095414676759,1826,1.796004747075536,-0.17422138625801128,False
36_422,9.0,105.5,2024-12-31,0,1,0.009309967141292442,0.14208184127871376,1826,0.43555549097743373,-0.06552538352194927,False
38_422,9.5,105.5,2024-12-31,2,3,1.604052573932092,7.3542357568713665,1826,23.66675984454619,0.05383937082761561,False
40_422,10.0,105.5,2024-12-31,0,6,0.5416210295728368,2.3240654980693694,1826,7.513817523780944,-0.2330489523736608,False
42_418,10.5,104.5,2024-12-31,0,9,0.5876232201533407,1.8044815268378025,1826,6.001067800666748,-0.32564657017193155,False
42_422,10.5,105.5,2024-12-31,3,11,2.6369112814895947,6.1462661426012355,1826,21.075709709293303,0.05907468210557151,False
42_428,10.5,107.0,2024-12-31,0,14,0.9895947426067908,1.6313373453417264,1826,5.88360677863197,-0.6066156368163657,False
44_426,11.0,106.5,2024-12-31,0,15,0.5920043811610076,1.3972660710850504,1826,4.783802594416159,-0.4236876522030519,False
44_432,11.0,108.0,2024-12-31,0,18,0.9271631982475356,2.6295801743532627,1826,8.815903721307324,-0.35258981920015753,False
46_426,11.5,106.5,2024-12-31,0,20,0.4644030668127054,1.1029688949383605,1826,3.773309751627787,-0.4210481990416045,False
46_428,11.5,107.0,2024-12-31,0,21,0.19441401971522454,0.6410535091897047,1826,2.1175745472843386,-0.3032726861771102,False
46_430,11.5,107.5,2024-12-31,0,22,0.1484118291347207,0.6098642985391083,1826,1.9780047247520456,-0.24335221702636461,False
46_432,11.5,108.0,2024-12-31,0,23,0.2420591456736035,0.9289882130907345,1826,3.029023784945807,-0.2605621279825232,False
46_434,11.5,108.5,2024-12-31,0,24,1.160460021905805,3.4300832861473984,1826,11.450709880348,-0.3383183220630222,False
48_428,12.0,107.0,2024-12-31,0,25,0.07886089813800658,0.4590902443103004,1826,1.4561316310689076,-0.1717764625046231,False
48_430,12.0,107.5,2024-12-31,0,26,0.39759036144578314,1.2972783728875783,1826,4.289425480108518,-0.30648037441709375,False
48_432,12.0,108.0,2024-12-31,0,27,1.5251916757940853,3.569378226266361,1826,12.233326354593169,-0.4272989801334294,False
48_436,12.0,109.0,2024-12-31,0,29,0.25410733844468786,0.8670827155441592,1826,2.8553554850771654,-0.2930600897576612,False
50_432,12.5,108.0,2024-12-31,0,30,0.08762322015334063,0.40271699487252705,1826,1.2957742047709218,-0.21758014007100995,False
52_434,13.0,108.5,2024-12-31,0,34,0.9101861993428259,3.040662377071514,1826,10.032173330557368,-0.2993381331009309,False
52_436,13.0,109.0,2024-12-31,0,35,1.1648411829134722,2.7654802455381864,1826,9.461281919528032,-0.42120755872070387,False
56_430,14.0,107.5,2024-12-31,0,39,2.1078860898138005,8.289810429291661,1826,26.97731737768878,-0.25427434171059965,False
56_432,14.0,108.0,2024-12-31,0,40,1.104052573932092,3.2968419933762774,1826,10.994578554060924,-0.3348818585028511,False
56_436,14.0,109.0,2024-12-31,0,42,0.3368017524644031,1.6139574305184432,1826,5.178674044019733,-0.20868069138367173,False
58_432,14.5,108.0,2024-12-31,0,44,1.4545454545454546,4.688705594238096,1826,15.520662237259742,-0.3102232429208034,False
58_434,14.5,108.5,2024-12-31,0,45,1.403066812705367,2.631458039077201,1826,9.29744092993697,-0.5331898863176986,False
62_432,15.5,108.0,2024-12-31,0,50,1.7590361445783131,3.5999981661802436,1826,12.559030643119044,-0.4886214001727473,False
62_434,15.5,108.5,2024-12-31,0,51,0.03176341730558598,0.2544483388600611,1826,0.7951084338857691,-0.12483248052585993,False
64_430,16.0,107.5,2024-12-31,0,52,0.18181818181818182,0.6668824889343867,1826,2.182465648621342,-0.2726390103730412,False
64_432,16.0,108.0,2024-12-31,0,53,0.2913472070098576,0.9153196270457702,1826,3.0373060881471683,-0.3183010594344973,False
66_430,16.5,107.5,2024-12-31,0,55,0.07667031763417305,0.5405558557335123,1826,1.6983378848347097,-0.14183606896670198,False
68_428,17.0,107.0,2024-12-31,0,57,0.047097480832420595,0.48762753394588265,1826,1.5099800826700684,-0.09658494968753654,False
70_424,17.5,106.0,2024-12-31,0,58,0.11883899233296824,0.7081567579204151,1826,2.2433092660942133,-0.16781452835662092,False
70_426,17.5,106.5,2024-12-31,0,59,0.019167579408543262,0.1934957926280767,1826,0.5996549572927734,-0.09905941182600164,False
76_422,19.0,105.5,2024-12-31,0,65,0.18838992332968238,0.7494998757617625,1826,2.43688955061497,-0.2513541755269942,False
78_418,19.5,104.5,2024-12-31,0,66,1.3608981380065717,5.474482179906302,1826,17.78434467772548,-0.24858938129375077,False
78_422,19.5,105.5,2024-12-31,0,68,0.4693318729463308,1.3706877755415985,1826,4.581395199571126,-0.342406112698338,False
80_420,20.0,105.0,2024-12-31,0,69,0.5646221248630887,1.9087218113236264,1826,6.2907875588339675,-0.29581163766947505,False
80_424,20.0,106.0,2024-12-31,0,71,0.056955093099671415,0.340890590504628,1826,1.0796268646135554,-0.1670773400209126,False
82_420,20.5,105.0,2024-12-31,0,72,0.05421686746987952,0.3547196694597496,1826,1.1183758758491282,-0.15284426587466576,False
